text,how many years of work experience do you have with public relations?
radio,"do you have the following license or certification: enrolled agent (ea)?
do you have the following license or certification: enrolled agent (ea)?
required
yes
no"
text,how many years of work experience do you have with tax advisory?
text,how many years of work experience do you have with client services?
text,what are your minimum salary requirements?
text,how many years of work experience do you have with communication?
text,how many years of work experience do you have with interpersonal skills?
text,how many years of work experience do you have with tanium?
text,how many years of work experience do you have with scada?
dropdown,"do you have technical leadership experience with mes/mom projects from conceptual design to completion?
do you have technical leadership experience with mes/mom projects from conceptual design to completion?"
dropdown,"do you have a bachelor's or higher degree in engineering or similar filed?
do you have a bachelor's or higher degree in engineering or similar filed?"
dropdown,"this role works with the department of defense and requires the person to be a us citizen. can you meet this requirement? 
this role works with the department of defense and requires the person to be a us citizen. can you meet this requirement?"
text,how many years experience do you have in selling cruises?
dropdown,"do you have experience in selling luxury cruises?
do you have experience in selling luxury cruises?"
text,how many years of work experience do you have with analytical instruments?
text,how many years of work experience do you have with analytical chemistry?
text,how many years of work experience do you have with tax preparation?
text,how many years of work experience do you have with zendesk support?
text,how many years of work experience do you have with shopify?
text,how many years of work experience do you have with quickbooks?
text,how many years of work experience do you have with accounting software?
dropdown,"are you comfortable with the starting pay range of $21-22/hr (with room for growth)?
are you comfortable with the starting pay range of $21-22/hr (with room for growth)?"
text,how many years of work experience do you have with databases?
text,how many years of work experience do you have with microsoft office?
text,how many years of work experience do you have with microsoft office?
dropdown,"have you ever worked in a remote setting? 
have you ever worked in a remote setting?"
dropdown,"before applying, have you read our post in full detail?
before applying, have you read our post in full detail?"
dropdown,"do you see self-employment as a viable and exciting career option for yourself?
do you see self-employment as a viable and exciting career option for yourself?"
dropdown,"successful applicants will be invited to schedule an online interview via zoom or google meets. are you available for an online appointment?
successful applicants will be invited to schedule an online interview via zoom or google meets. are you available for an online appointment?"
text,how many years of work experience do you have with shopify?
dropdown,"do you have experience using gorgias or zendesk?
do you have experience using gorgias or zendesk?"
text,how many years of work experience do you have with payroll administration?
text,how many years of work experience do you have with cpp?
text,how many years of work experience do you have with microsoft office?
text,how many years of work experience do you have with microsoft outlook?
text,how many years of work experience do you have with payroll administration?
text,how many years of work experience do you have with multi-state payroll processing?
dropdown,"have you previously worked for an ria or broker dealer?
have you previously worked for an ria or broker dealer?"
dropdown,"do you have any work experience with orion advisor technology systems?
do you have any work experience with orion advisor technology systems?"
text,how many years of work experience do you have with sap erp?
text,how many years of work experience do you have with returns?
text,how many years of work experience do you have with google sheets?
text,how many years of work experience do you have with calendaring?
text,how many years of work experience do you have with icd-9?
text,how many years of work experience do you have with cpt coding?
text,how many years of hospitals and health care experience do you currently have?
radio,"type
type
required
mobile
home
work
other"
radio,"type
type
mobile
home
work
other"
radio,"i identify as one or more of the classifications of protected veteran listed above
i am not a protected veteran
i prefer not to specify"
radio,"may we send text messages that pertain to your job application?
may we send text messages that pertain to your job application?
yes
no"
text,what are your salary expectations?
radio,"are you fluent in any other language(s) other than english? if so, which ones???
are you fluent in any other language(s) other than english? if so, which ones???
required
spanish
french
portuguese??
italian
other"
dropdown,"please confirm you read and understand the above.
please confirm you read and understand the above."
radio,"may we send text messages that pertain to your job application?
may we send text messages that pertain to your job application?
yes
no"
text,what are your salary expectations?
radio,"are you fluent in any other language(s) other than english? if so, which ones???
are you fluent in any other language(s) other than english? if so, which ones???
required
spanish
french
portuguese??
italian
other"
dropdown,"please confirm you read and understand the above.
please confirm you read and understand the above."
radio,"may we send text messages that pertain to your job application?
may we send text messages that pertain to your job application?
yes
no"
text,what are your salary expectations?
radio,"are you fluent in any other language(s) other than english? if so, which ones???
are you fluent in any other language(s) other than english? if so, which ones???
required
spanish
french
portuguese??
italian
other
please make a selection"
dropdown,"please confirm you read and understand the above.
please confirm you read and understand the above."
radio,"may we send text messages that pertain to your job application?
may we send text messages that pertain to your job application?
yes
no"
text,what are your salary expectations?
radio,"are you fluent in any other language(s) other than english? if so, which ones???
are you fluent in any other language(s) other than english? if so, which ones???
required
spanish
french
portuguese??
italian
other"
dropdown,"please confirm you read and understand the above.
please confirm you read and understand the above."
radio,"may we send text messages that pertain to your job application?
may we send text messages that pertain to your job application?
yes
no"
text,what are your salary expectations?
radio,"are you fluent in any other language(s) other than english? if so, which ones???
are you fluent in any other language(s) other than english? if so, which ones???
required
spanish
french
portuguese??
italian
other
please make a selection"
dropdown,"please confirm you read and understand the above.
please confirm you read and understand the above."
radio,"may we send text messages that pertain to your job application?
may we send text messages that pertain to your job application?
yes
no"
text,what are your salary expectations?
radio,"are you fluent in any other language(s) other than english? if so, which ones???
are you fluent in any other language(s) other than english? if so, which ones???
required
spanish
french
portuguese??
italian
other"
